ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
13181,BOB RUIZ,153.1,12,49,98,0.7,2.9,5.8
10428,Nick Price,151.0,12,50,111,0.7,3.0,6.6
13044,John Luckett,149.2,15,48,108,0.9,2.9,6.5
15612,Vladislav Milutinovic,149.2,15,61,93,0.9,3.7,5.6
11792,ALEX PADILLA,149.0,10,33,98,0.6,2.0,5.9
14825,Min-jun Lee,148.0,11,41,92,0.7,2.5,5.6
12957,JAVY RUIZ,146.0,10,39,101,0.6,2.4,6.2
12843,Habib bin Zaim,144.1,9,55,90,0.6,3.4,5.6
14032,Nori Fujimoto,143.2,12,68,40,0.8,4.3,2.5
12622,Ryuki Higuchi,143.0,28,69,46,1.8,4.3,2.9
10965,CHRIS DOYLE,142.1,26,63,85,1.6,4.0,5.4
14423,Ernesto Cordova,141.2,20,60,95,1.3,3.8,6.0
12966,DAVID CHAVEZ,141.0,6,51,75,0.4,3.3,4.8
13270,Brayden Bourke,139.1,13,53,95,0.8,3.4,6.1
12493,Victor Burgos,138.2,11,50,81,0.7,3.2,5.3
12674,Mike Carrion,138.2,6,44,89,0.4,2.9,5.8
12904,Tomislav Ckrebic,138.0,19,66,116,1.2,4.3,7.6
10405,Jason White,137.0,6,60,75,0.4,3.9,4.9
13600,Gary Talbot,134.1,15,41,69,1.0,2.7,4.6
10987,DANTE WILLIAMS,134.0,29,67,98,1.9,4.5,6.6
13550,Daniel Dunn,133.0,6,55,65,0.4,3.7,4.4
11049,Claude Buso,130.2,9,44,88,0.6,3.0,6.1
11991,Juan Ramirez,130.0,8,28,79,0.6,1.9,5.5
13013,HALEWIJN VAN GINKEL,130.0,7,42,86,0.5,2.9,6.0
14072,Armando Moreno,129.1,10,36,72,0.7,2.5,5.0
15632,Oscar Gonzalez,128.2,12,36,90,0.8,2.5,6.3
12227,Ewan de Vet,128.0,12,36,69,0.8,2.5,4.9
12019,Juan Maldonado,128.0,9,39,84,0.6,2.7,5.9
11888,Yukio Kondo,127.2,9,47,75,0.6,3.3,5.3
11806,Seong-ho Kim,127.1,17,45,68,1.2,3.2,4.8
12364,SAMUEL KING,125.0,7,55,89,0.5,4.0,6.4
13068,Leo Loman,122.2,9,48,64,0.7,3.5,4.7
15771,Alex Padilla,122.2,10,58,81,0.7,4.3,5.9
10985,KEITH KLEIN,121.1,11,34,85,0.8,2.5,6.3
