ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
10599,NICK KENNEY,75.1,10,46,40,1.2,5.5,4.8
9486,JOSH HALL,74.2,4,22,47,0.5,2.7,5.7
7977,MATT OLSON,74.2,6,22,49,0.7,2.7,5.9
11902,Carsten Janssen,74.1,10,29,43,1.2,3.5,5.2
8346,STEVE CARTER,74.0,9,24,40,1.1,2.9,4.9
12397,MANNY ESTRADA,73.1,8,35,46,1.0,4.3,5.6
9520,RAY GALVAN,72.1,4,16,47,0.5,2.0,5.8
9545,CODY MURPHY,72.1,2,28,47,0.2,3.5,5.8
8793,JAMAL MORROW,72.0,4,24,39,0.5,3.0,4.9
11988,Glenn Claessens,71.1,7,23,36,0.9,2.9,4.5
12824,Pablo Clark,70.2,13,54,24,1.7,6.9,3.1
8416,John Johnson,70.2,2,26,38,0.3,3.3,4.8
13281,Lee Smith,70.2,5,17,33,0.6,2.2,4.2
11334,Miklas Rutten,69.1,5,14,45,0.6,1.8,5.8
13788,RIEMER KOPPELAAR,68.2,7,20,26,0.9,2.6,3.4
12406,ALFREDO LANGSTRAAT,68.2,8,20,44,1.0,2.6,5.8
13813,Paul Rathwell,68.2,1,28,52,0.1,3.7,6.8
11023,GEOFF LEE,68.1,5,22,41,0.7,2.9,5.4
11782,NICK MCGUIGAN,67.2,2,27,47,0.3,3.6,6.3
11054,Eddie Duran,66.1,8,23,45,1.1,3.1,6.1
9754,KYLE PEDERSEN,65.2,9,23,39,1.2,3.2,5.3
11926,Lorenz Buitenkamp,65.0,8,21,34,1.1,2.9,4.7
12251,DIEDERICK ARENS,64.1,7,17,28,1.0,2.4,3.9
9506,Javier Maciel,64.1,2,30,37,0.3,4.2,5.2
12735,Salvatore Rospigliosi,63.1,9,21,35,1.3,3.0,5.0
9462,Jon Valenzuela,63.1,1,39,36,0.1,5.5,5.1
10114,Ryan Beebe,62.2,3,25,31,0.4,3.6,4.5
12009,Justin Smith,61.2,5,37,43,0.7,5.4,6.3
11080,Takayasu Tsukamoto,61.2,7,21,49,1.0,3.1,7.2
12584,Alan Tizzard,61.0,4,26,47,0.6,3.8,6.9
9763,Shane Dillenburg,59.2,6,27,44,0.9,4.1,6.6
11681,JOHN DONDALE,58.1,3,27,24,0.5,4.2,3.7
11943,Hubert Roth,58.1,2,15,40,0.3,2.3,6.2
8574,Romeu Shellim,58.0,9,16,36,1.4,2.5,5.6
11801,FRANCISCO CASTRO,57.2,4,24,44,0.6,3.7,6.9
11579,Kedar Fawzi,57.2,1,15,32,0.2,2.3,5.0
10702,Hugo Fernandez,57.1,3,16,41,0.5,2.5,6.4
12471,Teddy Hewson,57.1,6,27,39,0.9,4.2,6.1
11544,ELIJAH WORTHY,57.0,4,24,39,0.6,3.8,6.2
11886,Ratko Drulovic,56.0,4,13,31,0.6,2.1,5.0
11956,Elijah McCants,56.0,1,8,41,0.2,1.3,6.6
11232,Juan Morones,55.2,6,25,32,1.0,4.0,5.2
11611,HAMZAH QASIM,55.1,4,30,39,0.7,4.9,6.3
10716,Peyton Orr,54.2,4,24,34,0.7,4.0,5.6
13292,Ivan Velasquez,54.2,7,26,25,1.2,4.3,4.1
13223,Rich Nicholls,54.1,10,16,28,1.7,2.7,4.6
10409,Lee Ross,54.1,6,19,34,1.0,3.1,5.6
12118,Velimir Stolic,54.1,3,21,38,0.5,3.5,6.3
13001,SEAN BANNERMAN,54.0,4,25,39,0.7,4.2,6.5
12280,KHAIR AL DIN BIN SOFIAN,54.0,8,31,45,1.3,5.2,7.5
13205,ELIGIO BRAMANTE,54.0,3,40,33,0.5,6.7,5.5
12305,IVICO STOJADINOVIC,54.0,7,20,30,1.2,3.3,5.0
12342,BRIAN REEVES,53.2,3,21,29,0.5,3.5,4.9
12333,BILLY STRICKLAND,53.2,6,14,43,1.0,2.3,7.2
10625,DEAN FLESCH,52.2,11,25,43,1.9,4.3,7.3
13914,SEUNG-KYU KIM,52.1,4,11,30,0.7,1.9,5.2
13821,Bogdan Loman,51.0,2,18,30,0.4,3.2,5.3
7612,RYAN MARKS,51.0,11,5,31,1.9,0.9,5.5
11673,KEEHAN GRIFFIN,50.2,2,12,34,0.4,2.1,6.0
11904,Vítor Nishimura,50.2,1,16,21,0.2,2.8,3.7
10610,SAL VALDEZ,50.2,6,21,39,1.1,3.7,6.9
12900,Vinny Andrade,50.1,5,42,30,0.9,7.5,5.4
