POS,Name,ORG,B,T,G,GS,PPG,IP,ERA,HR/9,BB/9,K/9,FIP,WAR
SP,JUAN VILLEGAS,NKO,S,R,33,33,86,187.2,4.27,0.9,2.0,6.5,3.93,2.6
SP,Ramiro Blanco,LAP,L,L,33,32,94,206.0,3.89,0.9,1.8,5.2,4.18,2.2
SP,BOBBY FRAMPTON,SMT,R,R,32,32,95,192.0,4.64,0.7,3.9,5.1,4.56,1.9
SP,Jesus Fuentes,LON,R,R,32,32,94,211.1,3.15,0.6,2.3,5.6,3.76,3.4
SP,Benny Gesserit,HON,R,R,32,32,103,223.0,3.63,0.6,2.0,5.2,3.87,3.7
SP,Jordan Gonzalez,VAN,R,R,32,32,94,204.2,3.39,0.5,1.8,5.6,3.49,4.0
SP,MATT HALLBAUER,AMS,R,R,32,32,95,189.2,5.08,0.8,2.5,5.2,4.29,1.6
SP,Tom Hampshire,SMT,R,R,32,32,94,202.1,3.78,0.8,2.0,6.6,3.80,3.9
SP,Mike Hawes,GAL,S,R,32,32,96,211.1,2.85,0.7,1.7,6.3,3.51,4.5
SP,JOSE HERNANDEZ,SMT,R,R,32,32,93,186.2,4.63,1.1,2.8,6.2,4.52,1.9
SP,DONOVAN HOYME JR.,HON,L,L,32,32,96,199.1,4.11,1.0,2.2,5.9,4.25,2.3
SP,Mark Hutton,ADE,R,R,32,32,85,176.1,3.83,0.9,2.7,6.4,4.10,2.5
SP,Devin Johnson,LON,R,R,32,32,92,188.2,3.91,0.9,2.5,6.2,4.10,2.2
SP,Cheol-kyun Kim,HAV,R,R,32,32,80,152.0,6.04,0.8,3.9,5.7,4.62,1.1
SP,Dave Larocque,VAN,R,R,32,32,91,195.0,4.02,0.6,2.2,5.8,3.61,3.6
SP,Juan Lasanta,TOR,L,L,32,32,87,175.2,4.56,0.9,2.0,6.0,4.03,1.7
SP,Bogdan Loman,STU,R,L,32,32,93,209.2,2.70,0.7,2.2,4.8,4.14,2.8
SP,DAVE MARTINEZ,ADE,S,R,32,32,88,191.2,4.55,1.2,1.5,6.1,4.32,2.2
SP,DANNY PERALTA,CAL,L,L,32,32,72,150.0,3.96,0.5,2.7,5.7,3.84,2.4
SP,ROBERTO RAMIREZ,STU,R,R,32,32,89,180.1,3.94,0.4,2.9,6.2,3.69,3.4
SP,BILL SPOTTSWOOD,CLE,R,R,32,32,95,200.2,3.54,0.5,2.3,5.9,3.63,3.3
SP,Imbart van Vliet,DEN,S,R,32,32,94,203.1,4.07,0.9,2.0,4.8,4.40,3.1
RP,Rusty Walston,RME,L,L,32,32,87,178.0,4.30,0.6,2.0,5.8,3.66,3.7
SP,ADAM WHALEY,TOR,S,R,32,32,84,181.0,3.33,0.6,1.6,4.8,3.80,2.3
SP,Blake Willis,SMT,L,L,32,32,95,195.0,3.74,0.4,3.6,5.9,3.93,3.4
SP,JAY YANCHEK,TOR,R,R,32,32,88,181.0,3.73,0.9,2.2,6.9,3.94,1.9
SP,RUSSELL BARANOSKI,AMS,R,R,31,31,94,188.0,5.07,1.0,2.2,5.0,4.49,1.2
SP,LENNY CHARLES,HAV,S,R,31,31,89,167.2,4.99,0.7,2.7,6.4,3.88,2.7
SP,BOB MCKOWN,STU,S,R,31,31,86,186.0,4.02,0.9,2.4,3.8,4.64,1.4
SP,Eddie Uriostegui,CUR,R,R,31,31,91,179.2,4.71,0.7,2.6,5.1,4.21,2.6
SP,SINCERE WILLIAMS,ADE,R,R,31,31,91,183.2,4.36,1.0,2.5,5.6,4.41,1.9
RP,Kevin Floyd,DEN,L,L,30,30,86,164.0,5.16,1.4,2.7,6.8,4.77,1.1
SP,Ralph Hamilton,HON,L,L,30,30,80,164.1,2.79,0.7,1.6,4.7,3.97,2.5
SP,Andre van Lier,TOK,R,R,34,30,80,173.2,5.55,1.2,2.7,6.0,4.71,1.0
SP,Armando Garcia,DUB,L,R,33,29,82,178.2,4.38,0.7,1.7,6.2,3.52,3.6
SP,Andy Hammons,DEN,R,R,33,29,82,180.0,4.05,0.9,2.4,5.0,4.38,2.7
RP,RYAN FERGUSON,HAV,L,L,36,28,66,149.0,5.01,1.3,2.5,6.1,4.75,0.7
SP,Micah Lincoln,LON,L,L,28,28,95,175.1,3.23,0.5,2.6,5.5,3.74,2.9
SP,Brayden Bourke,SMT,R,R,27,27,82,154.1,2.92,0.8,2.0,5.3,4.11,2.4
SP,Matt Darling,CUR,R,R,27,27,98,181.1,4.07,0.7,2.1,5.7,3.86,3.4
RP,CHRIS KINSLEY,GAL,L,L,34,27,74,165.1,3.59,0.8,3.2,5.7,4.28,1.8
RP,Chris Johnson,HON,R,R,26,26,74,124.0,3.85,0.9,2.5,4.6,4.58,0.9
